2017FD157,150.0*,2042-09-15 21:04,1/1.39E8,-6.5,0,16.93,13
2013AB65,13.0*,2113-01-13 10:08,1/214132,-6.52,0,26.86,1519
2012DJ54,8.0*,2068-02-24 13:55,1/39682,-6.52,0,12.43,1838
2010NH,31.0*,2092-06-30 20:10,1/854700,-6.52,0,15.2,2442
2014MO68,91.0*,2025-08-21 21:43,1/4.26E7,-6.53,0,12.72,957
2013FU13,15.0*,2081-03-15 10:41,1/142045,-6.53,0,12.57,1449
2017AT20,16.0*,2028-06-24 06:26,1/990099,-6.53,0,13.19,70
2011EB,17.0*,2070-02-27 16:58,1/318471,-6.54,0,15.22,2154
2016JA6,22.0*,2099-05-03 04:05,1/460829,-6.55,0,15.92,311
2011AY22,16.0*,2106-01-17 18:36,1/195694,-6.55,0,17.17,2154
2006SC,38.0*,2095-09-14 00:06,1/1.64E6,-6.55,0,16.56,3829
2008XC1,78.0*,2085-12-17 14:43,1/1.02E7,-6.56,0,16.16,3035
2016TQ2,22.0*,2110-10-04 13:19,1/510204,-6.57,0,18.88,158
2005UL6,53.0*,2068-10-28 00:16,1/5.03E6,-6.57,0,16.36,4164
2012PB20,44.0*,2115-02-11 11:14,1/1.25E6,-6.58,0,11.88,1670
1997UA11,38.0*,2073-10-24 02:02,1/2.03E6,-6.58,0,16.37,7065
2017BG92,8.0*,2053-01-21 11:25,1/62893,-6.6,0,12.37,65
2014HD198,5.0*,2018-04-30 21:13,1/507614,-6.6,0,21.76,838
2012UU158,17.0*,2070-10-20 05:14,1/434782,-6.6,0,16.6,1597
2007UN12,8.0*,2086-09-28 03:50,1/23866,-6.62,0,11.29,3422
2012EP10,6.0*,2096-02-21 13:05,1/15060,-6.64,0,11.52,1822
2009WQ25,68.0*,2094-10-27 14:43,1/1.19E7,-6.64,0,20.3,2667
2008XU2,32.0*,2039-11-25 01:31,1/3.31E6,-6.64,0,14.95,3017
2004XB45,23.0*,2035-12-18 01:52,1/2.43E6,-6.64,0,20.37,4471
2015SG,22.0*,2105-08-17 08:08,1/390625,-6.65,0,13.69,540
2016WY,6.0*,2097-11-11 10:09,1/15576,-6.65,0,11.64,127
1991VG,9.0*,2115-11-05 11:28,1/24213,-6.66,0,11.23,7
2008VM,4.0*,2031-11-04 17:36,1/29761,-6.67,0,15.17,3051
2005TM173,67.0*,2048-11-19 02:20,1/1.19E7,-6.67,0,15.52,4148
2013RR43,35.0*,2050-09-08 18:01,1/6.76E6,-6.68,0,22.02,1277
2009FZ4,35.0*,2018-09-20 11:38,1/1.71E7,-6.68,0,14.63,2914
2013UR1,12.0*,2050-10-21 19:11,1/598802,-6.69,0,24.41,1235
2013PG10,12.0*,2064-02-10 22:06,1/169204,-6.7,0,13.13,1314
2010UJ,24.0*,2029-11-27 07:06,1/1.95E6,-6.7,0,11.49,2337
2007YS56,29.0*,2113-12-26 15:14,1/813008,-6.7,0,14.44,3349
2006WV29,21.0*,2098-06-05 21:40,1/729927,-6.7,0,20.18,3761
2014QN266,24.0*,2078-08-23 17:59,1/602409,-6.71,0,11.54,953
2008YV32,23.0*,2096-01-10 10:11,1/531914,-6.71,0,14.22,2991
2007US51,15.0*,2082-10-31 13:52,1/381679,-6.71,0,18.98,3419
2014NW64,500.0*,2035-11-23 09:58,1/4.31E9,-6.72,0,14.77,956
2007UD6,9.0*,2067-10-18 22:39,1/76335,-6.72,0,12.69,3429
2016EM156,11.0*,2116-03-19 15:13,1/84033,-6.73,0,14.23,363
2015UH52,27.0*,2101-10-21 06:48,1/1.05E6,-6.74,0,15.82,505
2008EM68,13.0*,2019-03-11 21:43,1/1.54E6,-6.74,0,18.92,3287
2009EW,22.0*,2081-03-06 09:43,1/917431,-6.75,0,17.01,2931
2016FA14,14.0*,2072-03-28 22:47,1/450450,-6.76,0,18.9,345
2007VH189,94.0*,2042-06-05 11:37,1/7.58E7,-6.76,0,21.28,3419
2011YC63,7.0*,2034-12-30 01:31,1/256410,-6.77,0,21.91,1896
2003WT153,10.0*,2089-09-10 03:06,1/76923,-6.79,0,12.03,4851
2012CL17,30.0*,2108-02-07 05:28,1/2.82E6,-6.8,0,24.17,1460
2010TD,18.0*,2072-09-27 09:07,1/1.05E6,-6.8,0,21.97,2352
2014TL,11.0*,2111-10-01 18:58,1/137551,-6.81,0,15.49,892
2014OY391,27.0*,2018-03-22 00:40,1/3.65E7,-6.81,0,18.48,817
2013NE24,14.0*,2093-07-11 14:43,1/281690,-6.81,0,16.2,1324
2011MD,6.0,2114-06-05 07:47,1/64935,-6.81,0,11.28,2089
2010NN,9.0*,2060-07-03 07:24,1/120918,-6.81,0,13.6,2440
2017FW90,10.0*,2102-03-30 22:51,1/74626,-6.82,0,11.93,19
2016LG10,33.0*,2108-06-06 00:36,1/1.54E6,-6.82,0,14.16,276
2006WZ184,26.0*,2109-11-27 02:10,1/740740,-6.82,0,13.34,3754
2005TH50,11.0*,2032-10-02 15:09,1/271002,-6.82,0,12.16,4169
2010JA43,478.0,2023-01-07 13:25,1/7.3E8,-6.83,0,18.77,2499
2006UU17,22.0*,2103-10-21 20:48,1/636942,-6.83,0,14.87,1459
2003DW10,25.0*,2046-03-02 09:06,1/1.77E6,-6.83,0,13.65,4968
2010TN55,17.0*,2078-10-11 13:48,1/1.39E6,-6.85,0,27.69,2342
2008KN11,94.0*,2046-06-20 19:09,1/7.41E7,-6.86,0,17.78,3221
2016TT,26.0*,2084-09-26 15:33,1/1.73E6,-6.87,0,16.11,174
2016EV84,20.0*,2080-03-11 06:42,1/675675,-6.87,0,13.41,366
2011UL169,9.0*,2057-10-25 16:02,1/180505,-6.87,0,14.57,1962
1991BA,8.0*,2023-01-18 01:38,1/370370,-6.87,0,21.97,9551
2015FA345,63.0*,2024-03-15 17:44,1/9.8E7,-6.88,0,14.49,689
2009FJ,45.0*,2058-03-13 18:49,1/7.41E6,-6.88,0,14.33,2931
2011QF48,37.0*,2067-08-26 23:59,1/8.77E6,-6.89,0,22.84,2019
2014EU,12.0*,2080-03-01 23:10,1/199203,-6.9,0,12.53,1099
2011CL50,13.0*,2059-02-16 16:03,1/273972,-6.91,0,11.67,2154
2009TD17,12.0*,2085-10-16 04:44,1/193050,-6.91,0,12.97,2699
2015TG24,19.0*,2112-10-13 17:25,1/581395,-6.92,0,14.9,519
2008LD,7.0*,2113-05-31 00:52,1/34013,-6.92,0,11.92,3205
2015YV20,140.0*,2027-05-08 18:30,1/4.26E8,-6.93,0,12.73,415
1993UA,34.0*,2111-10-21 04:58,1/1.85E6,-6.93,0,14.6,8541
2016CH30,11.0*,2103-02-16 03:22,1/119904,-6.94,0,12.44,400
2010UC7,43.0,2112-11-06 01:25,1/6.41E6,-6.94,0,17.36,831
2012WS3,28.0*,2082-05-22 14:18,1/1.9E6,-6.95,0,14.22,1572
2008EA9,12.0*,2081-12-21 10:05,1/163398,-6.95,0,11.25,3289
2008BC15,20.0*,2094-07-22 19:36,1/1.61E6,-6.95,0,23.41,3329
2008CB6,16.0*,2093-04-27 18:06,1/408163,-6.96,0,13.43,3320
2015WP2,4.0*,2089-11-19 22:15,1/25188,-6.98,0,16.87,475
2015MC131,47.0*,2044-12-17 22:21,1/1.22E8,-7.0,0,26.22,601
2007DC,13.0*,2054-02-08 13:35,1/471698,-7.0,0,13.03,3676
2010FN,20.0*,2082-10-12 20:24,1/826446,-7.02,0,13.08,2551
2015VP64,9.0*,2087-11-09 11:14,1/350877,-7.03,0,23.76,449
2009FP32,12.0*,2104-04-02 15:13,1/348432,-7.04,0,18.79,2904
2007TX22,9.0*,2060-10-12 05:43,1/199203,-7.04,0,14.24,3440
2013TV132,21.0*,2111-10-05 01:03,1/877192,-7.05,0,14.45,1247
2006UC64,43.0*,2103-04-20 19:15,1/1.09E7,-7.05,0,23.39,3806
2006SR131,11.0*,2072-09-24 18:23,1/247524,-7.05,0,14.03,3819
2004BN41,30.0*,2116-02-12 00:36,1/1.69E6,-7.05,0,13.8,4791
2013PS13,15.0*,2096-08-12 09:20,1/813008,-7.07,0,20.57,1312
